sciName
"Echimys chrysurus"
"Echimys saturnus"
"Echimys vieirai"
"Isothrix barbarabrownae"
"Isothrix bistriata"
"Isothrix negrensis"
"Isothrix orinoci"
"Isothrix pagurus"
"Isothrix sinnamariensis"
"Kannabateomys amblyonyx"
"Leiuromys occasius"
"Lonchothrix emiliae"
"Makalata didelphoides"
"Makalata macrura"
"Mesomys hispidus"
"Mesomys leniceps"
"Mesomys occultus"
"Mesomys stimulax"
"Olallamys albicauda"
"Olallamys edax"
"Pattonomys carrikeri"
"Pattonomys flavidus"
"Pattonomys punctatus"
"Pattonomys semivillosus"
"Phyllomys blainvilii"
"Phyllomys brasiliensis"
"Phyllomys centralis"
"Phyllomys dasythrix"
"Phyllomys kerri"
"Phyllomys lamarum"
"Phyllomys lundi"
"Phyllomys mantiqueirensis"
"Phyllomys medius"
"Phyllomys nigrispinus"
"Phyllomys pattoni"
"Phyllomys sulinus"
"Phyllomys thomasi"
"Phyllomys unicolor"
"Santamartamys rufodorsalis"
"Toromys albiventris"
"Toromys grandis"
"Toromys rhipidurus"
"Callistomys pictus"
"Hoplomys gymnurus"
"Myocastor coypus"
"Proechimys brevicauda"
"Proechimys canicollis"
"Proechimys chrysaeolus"
"Proechimys cuvieri"
"Proechimys decumanus"
"Proechimys echinothrix"
"Proechimys gardneri"
"Proechimys goeldii"
"Proechimys guairae"
"Proechimys guyannensis"
"Proechimys hoplomyoides"
"Proechimys kulinae"
"Proechimys longicaudatus"
"Proechimys mincae"
"Proechimys oconnelli"
"Proechimys pattoni"
"Proechimys quadruplicatus"
"Proechimys roberti"
"Proechimys semispinosus"
"Proechimys simonsi"
"Proechimys steerei"
"Proechimys trinitatis"
"Thrichomys apereoides"
"Thrichomys fosteri"
"Thrichomys inermis"
"Thrichomys laurentius"
"Thrichomys pachyurus"
"Clyomys laticeps"
"Euryzygomatomys spinosus"
"Trinomys albispinus"
"Trinomys dimidiatus"
"Trinomys eliasi"
"Trinomys gratiosus"
"Trinomys iheringi"
"Trinomys mirapitanga"
"Trinomys moojeni"
"Trinomys paratus"
"Trinomys setosus"
"Trinomys yonenagae"
"Boromys offella"
"Boromys torrei"
"Brotomys contractus"
"Brotomys voratus"
"Heteropsomys antillensis"
"Heteropsomys insulans"
"Aconaemys fuscus"
"Aconaemys porteri"
"Aconaemys sagei"
"Octodon bridgesii"
"Octodon degus"
"Octodon lunatus"
"Octodon pacificus"
"Octodon ricardojeda"
"Octodontomys gliroides"
"Octomys mimax"
"Pipanacoctomys aureus"
"Spalacopus cyanus"
"Tympanoctomys barrerae"
"Tympanoctomys kirchnerorum"
"Tympanoctomys loschalchalerosorum"
"Aplodontia rufa"
"Glirulus japonicus"
"Glis glis"
"Glis persicus"
"Graphiurus angolensis"
"Graphiurus christyi"
"Graphiurus crassicaudatus"
"Graphiurus johnstoni"
"Graphiurus kelleni"
"Graphiurus lorraineus"
"Graphiurus microtis"
"Graphiurus monardi"
"Graphiurus murinus"
"Graphiurus nagtglasii"
"Graphiurus ocularis"
"Graphiurus platyops"
"Graphiurus rupicola"
"Graphiurus surdus"
"Graphiurus walterverheyeni"
"Chaetocauda sichuanensis"
"Dryomys laniger"
"Dryomys niethammeri"
"Dryomys nitedula"
"Eliomys melanurus"
"Eliomys munbyanus"
"Eliomys quercinus"
"Muscardinus avellanarius"
"Myomimus personatus"
"Myomimus roachi"
"Myomimus setzeri"
"Selevinia betpakdalaensis"
"Callosciurus adamsi"
"Callosciurus baluensis"
"Callosciurus caniceps"
"Callosciurus erythraeus"
"Callosciurus finlaysonii"
"Callosciurus honkhoaiensis"
"Callosciurus inornatus"
"Callosciurus melanogaster"
"Callosciurus nigrovittatus"
"Callosciurus notatus"
"Callosciurus orestes"
"Callosciurus phayrei"
"Callosciurus prevostii"
"Callosciurus pygerythrus"
"Callosciurus quinquestriatus"
"Dremomys gularis"
"Dremomys lokriah"
"Dremomys ornatus"
"Dremomys pernyi"
"Dremomys pyrrhomerus"
"Dremomys rufigenis"
"Exilisciurus concinnus"
"Exilisciurus exilis"
"Exilisciurus whiteheadi"
"Glyphotes simus"
"Hyosciurus heinrichi"
"Hyosciurus ileile"
"Lariscus hosei"
"Lariscus insignis"
"Lariscus niobe"
"Lariscus obscurus"
"Menetes berdmorei"
"Nannosciurus melanotis"
"Prosciurillus abstrusus"
"Prosciurillus alstoni"
"Prosciurillus leucomus"
"Prosciurillus murinus"
"Prosciurillus rosenbergii"
"Prosciurillus topapuensis"
"Prosciurillus weberi"
"Rhinosciurus laticaudatus"
"Rubrisciurus rubriventer"
"Sundasciurus altitudinis"
"Sundasciurus brookei"
"Sundasciurus davensis"
"Sundasciurus everetti"
"Sundasciurus fraterculus"
"Sundasciurus hippurus"
"Sundasciurus hoogstraali"
"Sundasciurus jentinki"
"Sundasciurus juvencus"
"Sundasciurus lowii"
"Sundasciurus mindanensis"
"Sundasciurus moellendorffi"
"Sundasciurus natunensis"
"Sundasciurus philippinensis"
"Sundasciurus rabori"
"Sundasciurus robinsoni"
"Sundasciurus samarensis"
"Sundasciurus steerii"
"Sundasciurus tahan"
"Sundasciurus tenuis"
"Tamiops maritimus"
"Tamiops mcclellandii"
"Tamiops minshanicus"
"Tamiops rodolphii"
"Tamiops swinhoei"
"Funambulus layardi"
"Funambulus obscurus"
"Funambulus palmarum"
"Funambulus pennantii"
"Funambulus sublineatus"
"Funambulus tristriatus"
"Ratufa affinis"
"Ratufa bicolor"
"Ratufa indica"
"Ratufa macroura"
"Sciurillus pusillus"
"Aeretes melanopterus"
"Aeromys tephromelas"
"Aeromys thomasi"
"Belomys pearsonii"
"Biswamoyopterus biswasi"
"Biswamoyopterus gaoligongensis"
"Biswamoyopterus laoensis"
"Eoglaucomys fimbriatus"
"Eupetaurus cinereus"
"Eupetaurus nivamons"
"Eupetaurus tibetensis"
"Glaucomys oregonensis"
"Glaucomys sabrinus"
"Glaucomys volans"
"Hylopetes alboniger"
"Hylopetes bartelsi"
"Hylopetes electilis"
"Hylopetes nigripes"
"Hylopetes phayrei"
"Hylopetes platyurus"
"Hylopetes sagitta"
"Hylopetes sipora"
"Hylopetes spadiceus"
"Hylopetes winstoni"
"Iomys horsfieldii"
"Iomys sipora"
"Petaurillus emiliae"
"Petaurillus hosei"
